"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response"
"16",1946,"PhD","Single",82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,"0","0","1","1","0","0","1"
"19",1949,"Master","Married",76995,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,"0","0","0","1","0","0","0"
"54",1977,"Graduation","Divorced",82582,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,"1","0","0","1","0","0","1"
"68",1979,"2n Cycle","Single",88194,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,"1","0","0","1","0","0","1"
"88",1957,"Graduation","Single",50388,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,"0","1","0","1","0","0","1"
"99",1951,"2n Cycle","Married",78497,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,"0","0","0","1","0","0","0"
"117",1970,"Graduation","Married",90765,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,"0","0","1","1","0","0","0"
"125",1983,"Graduation","Single",101970,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,"0","1","1","1","0","0","1"
"177",1948,"PhD","Married",83837,0,0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,"0","1","0","1","0","0","1"
"180",1951,"2n Cycle","Married",78497,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,"0","0","0","1","0","0","0"
"204",1977,"PhD","Together",102160,0,0,2012-11-02,54,763,29,138,76,176,58,0,7,9,10,4,"0","1","1","1","0","0","1"
"244",1990,"Graduation","Married",73687,0,0,2013-11-28,8,559,153,503,218,13,181,1,3,9,9,2,"0","0","0","1","0","0","1"
"247",1972,"Graduation","Married",80134,1,0,2013-05-20,40,1218,16,272,104,0,80,2,5,3,6,6,"0","1","1","1","0","0","1"
"253",1974,"Graduation","Divorced",102692,0,0,2013-04-05,5,168,148,444,32,172,148,1,6,9,13,2,"0","1","1","1","1","0","1"
"279",1986,"PhD","Single",69867,0,0,2013-04-02,30,196,0,512,33,130,54,1,3,5,8,1,"0","0","0","1","0","0","1"
"306",1961,"Master","Married",80950,0,0,2013-03-28,44,525,147,112,219,147,63,1,6,7,9,2,"0","0","0","1","0","0","0"
"337",1968,"Graduation","Divorced",75693,0,0,2012-12-06,10,797,153,293,72,97,30,1,11,4,6,4,"0","1","1","1","0","0","1"
"413",1955,"PhD","Married",66465,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,"0","0","0","1","0","0","0"
"418",1994,"Graduation","Together",80134,0,0,2014-02-14,11,966,26,282,52,26,26,1,2,7,11,5,"0","1","1","1","1","0","0"
